name,url
Booking.com,"https://www.glassdoor.com/Overview/Working-at-Booking-com-EI_IE256653.11,22.htm"
Wells-Fargo,"https://www.glassdoor.com/Overview/Working-at-Wells-Fargo-EI_IE8876.11,22.htm"
Airbnb,"https://www.glassdoor.com/Overview/Working-at-Airbnb-EI_IE391850.11,17.htm"


